song_name,lyrics,label
Just Friends,"[Intro]
Ooh-oh, ooh-woh
Ooh-oh, ooh-woh

[Verse 1]
You say you love me, I say you crazy
We're nothing more than friends
You're not my lover, more like a brother
I known you since we were like ten, yeah

[Refrain]
Don't mess it up, talking that shit
Only gonna push me away, that's it!
When you say you love me, that make me crazy
Here we go again

[Pre-Chorus]
Don't go look at me with that look in your eye
You really ain't going away without a fight
You can't be reasoned with, I'm done being polite
I've told you one, two, three, four, five, six thousand times

[Chorus]
Haven't I made it obvious?
Haven't I made it clear?
Want me to spell it out for you?
F-R-I-E-N-D-S
Haven't I made it obvious?
Haven't I made it clear?
Want me to spell it out for you?
F-R-I-E-N-D-S
F-R-I-E-N-D-S

[Verse 2]
Have you got no shame? You looking insane
Turning up at my door
It's two in the morning, the rain is pouring
Haven't we been here before?

[Refrain]
Don't mess it up, talking that shit
Only gonna push me away, that's it!
Have you got no shame? You looking insane
Here we go again

[Pre-Chorus]
So don't go look at me with that look in your eye
You really ain't going away without a fight
You can't be reasoned with, I'm done being polite
I've told you one, two, three, four, five, six thousand times

[Chorus]
Haven't I made it obvious? (Haven't I made it?)
Haven't I made it clear? (Haven't I made it clear?)
Want me to spell it out for you?
F-R-I-E-N-D-S
Haven't I made it obvious?
Haven't I made it clear? (Haven't I?)
Want me to spell it out for you? (To spell it out for you?)
F-R-I-E-N-D-S
F-R-I-E-N-D-S

[Bridge]
F-R-I-E-N-D-S
That's how you f****** spell ""friends""
F-R-I-E-N-D-S
Get that shit inside your head
No, no, yeah, uh, ah
F-R-I-E-N-D-S
We're just friends

[Pre-Chorus]
So don't go look at me with that look in your eye
You really ain't going nowhere without a fight
You can't be reasoned with, I'm done being polite
I've told you one, two, three, four, five, six thousand times

[Chorus]
Haven't I made it obvious? (Have I not made it obvious?)
Haven't I made it clear? (Yeah, I made it very clear)
Want me to spell it out for you? (Yo)
F-R-I-E-N-D-S (I said F-R-I-E-N-D-S)
Haven't I made it obvious? (I made it very obvious)
Haven't I made it clear? (I made it very clear)
Want me to spell it out for you?
F-R-I-E-N-D-S
F-R-I-E-N-D-S

[Outro]
Mmm, ooh, ooh, ooh
Ah, ah-oh, ah-oh",1
Footprint,"[Part 1: Yoncé]

[Intro]
Let me hear you say ""Hey, Ms. Carter!"" (Hey, Ms. Carter!)
Say, ""Hey, Ms. Carter!"" (Hey, Ms. Carter!)
Give me some!

[Verse 1]
See me up in the club with fifty-'leven girls
Posted in the back, diamond fangs in my grill
Brooklyn brim with my eyes sitting low
Every boy in here with me got that smoke
Every girl in here got to look me up and down
All on Instagram, cake by the pound
Circulate the image every time I come around
G's up, tell me how I'm looking, babe

[Bridge]
Boy, this all for you just walk my way
Just tell me how it's looking, babe
Just tell me how it's looking, babe
(How it's looking, babe?)
I do this all for you, baby, just take aim
And tell me how it's looking babe
(How it's looking, babe?)
Tell me how it's looking babe, looking babe

[Verse 2]
Drop the bass, mane, the bass get lower
Radio say ""Speed it up"", I just go slower
High like treble, pumping on the mids
Ya man ain't ever seen a booty like this
And why you think ya keep my name rolling off the tongue
'Cause when he wanna smash, I'll just write another one
I sneezed on the beat and the beat got sicker
Yoncé all on his mouth like liquor
Yoncé all on his mouth like liquor
Yoncé all on his mouth like liquor
Yoncé all on his mouth like liquor
Like, like liquor, like, like, like liquor
Yoncé all on his mouth like liquor
Yoncé all on his mouth like liquor
Yoncé all on his mouth like liquor
Like, like liquor, like, like, like liquor

[Interlude]
Beyoncé, Beyoncé?
Are you happy to be in Paris? Are you happy to be in Paris?
Beyoncé, Beyoncé? Beyoncé!

[Part 2: Partition]

[Verse 1]
Driver, roll up the partition, please
Driver, roll up the partition, please
I don't need you seeing 'Yoncé on her knees
Took 45 minutes to get all dressed up
We ain't even gonna make it to this club
Now my mascara running, red lipstick smudged
Oh, he so horny, yeah, he want to fuck
He popped all my buttons, and he ripped my blouse
He Monica Lewinsky-ed all on my gown

[Pre-Chorus]
Oh, there daddy, daddy didn’t bring the towel
Oh, baby, baby we betta slow it down
Took 45 minutes to get all dressed up
We ain't even gonna make it to this club

[Chorus]
Take all of me
I just wanna be the girl you like, girl you like
The kind of girl you like, girl you like
Take all of me
I just wanna be the girl you like, girl you like
The kinda girl you like
Is right here with me

[Verse 2]
Driver, roll up the partition fast
Driver, roll up the partition fast
Over there I swear I saw them cameras flash
Handprints and footprints on my glass
Handprints and good grips all on my ass
Private show with the music blasting
He like to call me Peaches when we get this nasty
Red wine drip, we’ll talk that trash
Chauffeur eavesdropping, trying not to crash

[Pre-Chorus]
Oh, there daddy, daddy now you ripped my fur
Oh, baby baby be sweating out my hair
Took 45 minutes to get all dressed up
We ain't even gonna make it to this club

[Chorus]
Take all of me
I just wanna be the girl you like, girl you like
The kind of girl you like, girl you like
Take all of me
I just wanna be the girl you like, girl you like
The kinda girl you like
Is right here with me

[Bridge]
Hello!
Est-ce que tu aimes le sexe?
Le sexe, je veux dire: l'activité physique, le coït. Tu aimes ça?
Tu ne t'intéresses pas au sexe?
Les hommes pensent que les féministes détestent le sexe mais c'est une activité très stimulante et naturelle que les femmes adorent

[Chorus]
Take all of me
I just wanna be the girl you like, girl you like
The kind of girl you like, girl you like
Take all of me
I just wanna be the girl you like, girl you like
The kinda girl you like
Is right here with me",0
The Best Of Myself,"[Verse 1]
You woke me up
I didn't know I'd fallen back to sleep
'Cause you were alive inside my dreams
You were a free bird in the blue skies ahead
We should walk instead of driving
We we can talk and give our minds up
Watch the city line turn to gold

[Pre-Chorus]
Take me to Oregon Hill
Take me to The James River
Take me to the ocean floor
Throw me in the water
Throw me in the water

[Chorus]
Can you let me know you're holding on?
Let me know you're holding on
Let me know you're holding on
Can you let me know you're holding on?
Let me know you're holding on
Let me know you're holding on
For one more day

[Verse 2]
End the night entangled in your arms on LSD
Finding the art in everything
Even the blue skies pray for thunder and rain
If I could live inside your heart
And somewhere safe next to your garden
Watch the colors all burn to gold

[Pre-Chorus]
Take me to Oregon Hill
Take me to The James River
Take me to the ocean floor
Throw me in the water
Throw me in the water

[Chorus]
Can you let me know you're holding on?
Let me know you're holding on
Let me know you're holding on
Can you let me know you're holding on?
Let me know you're holding on
Let me know you're holding on
For one more day

[Verse 3]
You pick me up when I lose all my self-control
You gave me everything I needed to find the best of myself
The light of the opening door, crash
Fall all around me, it's calm now
You give me a reason to stay
I don't want to live far away
I wish on the morning that's outside
After the moments of clarity
Yeah, after the moments with you
I'd spend every morning with you",1
Light of You,"[Verse 1]
Elementary pa lang, napapansin na nila
Mga gawi kong parang hindi pambabae eh kasi
Imbes na chinese garter, laruan ko ay teks at jolens
Tapos ka-jamming ko lagi noon
Mga sigang lalaki sa amin

[Verse 2]
Nung ako'y mag high school ay
Napabarkada sa mga bi-curious na babae na
Ang hanap din ay babae
Sa halip na makeup kit, bitbit ko ay gitara
Tapos pormahan ko lagi ay long sleeves na
T-shirt at faded na lonta

[Pre-Chorus 1]
Pero noong nakilala kita
Nagbagong bigla ang aking timpla
Natuto ako na magparebond at
Mag-ahit ng kilay at least once a month
Hindi ko alam kung anong meron ka na
Sa akin ay nagpalambot nang bigla
Sinong mag-aakalang lalake pala
Ang bibihag sa tulad kong tigreng gala

[Chorus]
Kahit ako'y titibo-tibo
Puso ko ay titibok-tibok pa rin sa'yo
Isang halik mo lamang, at ako ay tinatablan
At ang aking pagkababae ay nabubuhayan
Na para bang bulaklak na namumukadkad
Dahil alaga mo sa dilig at katamtamang
Sikat ng araw-araw mong pag-ibig
Sa 'king buhay nagpapasarap

[Verse 3]
Nung tayo'y nag-college ay
Saka ko lamang binigay ang matamis na oo
Sampung buwan mong trinabaho
Sa halip na tsokolate at tipikal na mga diskarte
Nabihag mo ko sa mga tula at sa mga kanta mong pabebe

[Pre-Chorus 2]
Kaya nga noong makilala kita
Alam ko na agad na mayroong himala
Natuto akong magtakong at napadalas
Ang pagsuot ng bestidang pula
Pero 'di mo naman inasam na ako ay
Magbagong tuluyan para patunayang
Walang matigas na tinapay sa mainit na kape
Ng iyong pagmamahal

[Chorus]
Kahit ako'y titibo-tibo
Puso ko ay titibok-tibok pa rin sa'yo
Isang halik mo lamang, at ako ay tinatablan
At ang aking pagkababae ay nabubuhayan
Na para bang bulaklak na namumukadkad
Dahil alaga mo sa dilig at katamtamang
Sikat ng araw-araw mong pag-ibig
Sa 'king buhay nagpapasarap

English Translation

[Verse 1]
Ever since elementary grade, they're already noticing
My gestures that are unlady-like 'coz
Instead of chinese garter, my toys were trading cards and marbles
Then I always jam with
Gangster-like boys in our place

[Verse 2]
When I entered high school
I was friends with bi's--curious girls
Who also like girls
Instead of makeup kit, I bring my guitar
Then I always wore long-sleeved
T-shirt and faded pants

[Pre-Chorus 1]
But when I met you
My flavor changed
I learned to have my hair rebonded
Shape my eyebrows at least once a month
I don't know what it is that you have that
Had me soften suddenly
Who would have thought it will be a man
Who'll capture a wild tiger like me

[Chorus]
Even if I am boyish
My heart still beats for you
Just one kiss from you, and you've got me hooked
And the woman in me is awakened
Just like a blooming flower
Because you care for it with water and sufficient
Light of your everyday love
That makes my life sweet

[Verse 3]
When we went to college
Was just when I gave you my sweet ""yes""
That you've worked for 10 months
Instead of chocolates and typical moves
You captured me with your poems and your corny songs

[Pre-Chorus 2]
That's why when I met you
I already knew that miracles are true
I learned to wear heels and frequented
Wearing red dress
But you didn't wish me to
Change completely just to prove
That there is no hard bread to a hot coffee
Of your love

[Chorus]
Even if I am boyish
My heart still beats for you
Just one kiss from you, and you've got me hooked
And the woman in me is awakened
Just like a blooming flower
Because you care for it with water and sufficient
Light of your everyday love
That makes my life sweet",0
Own It feat Ed Sheeran  Burna Boy,"Lewis Capaldi - Before You Go
Stormzy - Own It (feat. Ed Sheeran & Burna Boy)
Harry Styles - Watermelon Sugar
PARTYNEXTDOOR - Loyal (feat. Drake)
Trippie Redd - Who Needs Love
Coldplay - Champion Of The World
Maggie Rogers - Love You For A Long Time
Summer Walker - Something Real (with London On Da Track & Chris Brown)
Mark Ronson - Then There Were Two
Bad Bunny - Vete
Kesha - My Own Dance
beabadoobee - Don't You (Forget About Me) [Live from Abbey Road Studios, London]
HAIM - Hallelujah
Gracie Abrams - Stay
XXXTENTACION - bad vibes forever
Alicia Keys - Time Machine
DaVido - D & G (feat. Summer Walker)
David Guetta - Make It To Heaven (with Raye)
Labrinth - Oblivion (feat. Sia)
U2 - Ahimsa
Beck - Chemical
Ozzy Osbourne - Straight to Hell
Lolo Zouaï - Money Diamonds Roses
24kGoldn - DROPPED OUTTA COLLEGE
Tinashe - Save Room for Us
Grace VanderWaal - Poser
X Lovers - Cut My Lip
Dennis Lloyd - Unfaithful
Taylor Janzen - What I Do...
Zero 9:36 - Come Thru
Jason Aldean - Tattoos and Tequila
A Great Big World - Fall On Me
Nina Nesbitt - Still Waiting to Start
Spencer Barnett - I'm Fine
Johan Lenox - no one wants to dance anymore (feat. Yung Pinch)
Deaton Chris Anthony - Late Night Lovin' (feat. Omar Apollo, Jean Dawson & Korbin In Orbit)
Smokepurpp - Dirty Dirty (feat. Lil Skies)
Ciara - Melanin (feat. Lupita Nyong'o, Ester Dean, City Girls, & LA LA)
Juanes - Tequila
Alok - On & On
Ekali - Hard To Say Goodbye (feat. Chloe Angelides)
Lola Young - Blind Love
Adam Melchor - I CHOOSE YOU
Elah Hale - Posters
ALMA - Bad News Baby
03 Greedo - Disco Shit
Flipp Dinero - Westside
CHIKA - Can't Explain It (feat. Charlie Wilson)
Big Freedia - Louder (feat. Icona Pop)
AJ Mitchell - Unstoppable
Carlie Hanson - Side Effects
Stephen Puth - Crying My Eyes Out
Prince Fox - Same Love
Scarypoolparty - Millennial Love
Nasty Cherry - Fuck Modern Love
Des Rocs - Give Me the Night
MfnMelo - What a Life
Blac Youngsta - Like A Pro (feat. DaBaby)
Only The Family - Blika Blika
[SKYXXX - Chicken Dinner]🐚

Mr Eazi - Tony Montana
Felix Jaehn - Close Your Eyes
Hannah Diamond - The Ending
Phangs - I Forgot You
Jessie J - One More Try
MIA GLADSTONE - GEEKIN
Terrace Martin - Intimidated
Jay Critch - Cameras
Casey Veggies - Big Racks (feat. Iamsu)
Farina - Así Así
ASTN - Ain't Dumb
Leyla Blue - I Don't Wanna Know
Emily Burns - Hate Me Too
Little Big Town - Sugar Coat
[Filmore - London]🐚

The Who - I Don't Wanna Get Wise
Palaye Royale - Massacre, The New American Dream
DENM - Alright
L8LOOMER - shinelikewhoa
Fredo Bang - Mongoose (Fuck You)
Giveon - LIKE I WANT YOU
Ginger Root - B4
Christian Alexander - So High
Litany - Single Player Mode
Navvy - Scared to Be Happy
Delaney Jane - Circling The Cage
Alt Bloom - Stay
MKTO - Consider Me Yours
Tech N9ne - Angel Baby
Lil Poppa - On My Own
Mozzy - Everybody On Go
Taliwhoah - Sweet Sweet 🐚

SAYGRACE - Doin' Too Much
The Japanese House - Chewing Cotton Wool
Pouya - life? ... lol
Black Caviar - Kubrick Faked The Moon Landing",1
FRIENDS,"[Intro]
Ooh-oh, ooh-woh
Ooh-oh, ooh-woh

[Verse 1]
You say you love me, I say you crazy
We're nothing more than friends
You're not my lover, more like a brother
I known you since we were like ten, yeah

[Refrain]
Don't mess it up, talking that shit
Only gonna push me away, that's it!
When you say you love me, that make me crazy
Here we go again

[Pre-Chorus]
Don't go look at me with that look in your eye
You really ain't going away without a fight
You can't be reasoned with, I'm done being polite
I've told you one, two, three, four, five, six thousand times

[Chorus]
Haven't I made it obvious?
Haven't I made it clear?
Want me to spell it out for you?
F-R-I-E-N-D-S
Haven't I made it obvious?
Haven't I made it clear?
Want me to spell it out for you?
F-R-I-E-N-D-S
F-R-I-E-N-D-S

[Verse 2]
Have you got no shame? You looking insane
Turning up at my door
It's two in the morning, the rain is pouring
Haven't we been here before?

[Refrain]
Don't mess it up, talking that shit
Only gonna push me away, that's it!
Have you got no shame? You looking insane
Here we go again

[Pre-Chorus]
So don't go look at me with that look in your eye
You really ain't going away without a fight
You can't be reasoned with, I'm done being polite
I've told you one, two, three, four, five, six thousand times

[Chorus]
Haven't I made it obvious? (Haven't I made it?)
Haven't I made it clear? (Haven't I made it clear?)
Want me to spell it out for you?
F-R-I-E-N-D-S
Haven't I made it obvious?
Haven't I made it clear? (Haven't I?)
Want me to spell it out for you? (To spell it out for you?)
F-R-I-E-N-D-S
F-R-I-E-N-D-S

[Bridge]
F-R-I-E-N-D-S
That's how you f****** spell ""friends""
F-R-I-E-N-D-S
Get that shit inside your head
No, no, yeah, uh, ah
F-R-I-E-N-D-S
We're just friends

[Pre-Chorus]
So don't go look at me with that look in your eye
You really ain't going nowhere without a fight
You can't be reasoned with, I'm done being polite
I've told you one, two, three, four, five, six thousand times

[Chorus]
Haven't I made it obvious? (Have I not made it obvious?)
Haven't I made it clear? (Yeah, I made it very clear)
Want me to spell it out for you? (Yo)
F-R-I-E-N-D-S (I said F-R-I-E-N-D-S)
Haven't I made it obvious? (I made it very obvious)
Haven't I made it clear? (I made it very clear)
Want me to spell it out for you?
F-R-I-E-N-D-S
F-R-I-E-N-D-S

[Outro]
Mmm, ooh, ooh, ooh
Ah, ah-oh, ah-oh",1
Sorry,"[Written by Julia Michaels, Justin Tranter, and Justin Bieber]

[Verse 1]
You gotta go and get angry at all of my honesty
You know I try but I don't do too well with apologies
I hope I don't run out of time, could someone call a referee?
Cause I just need one more shot at forgiveness
I know you know that I made those mistakes maybe once or twice
By once or twice I mean maybe a couple a hundred times
So let me, oh let me redeem, oh redeem, oh myself tonight
Cause I just need one more shot at second chances

[Pre-Chorus]
Yeah, is it too late now to say sorry?
Cause I'm missing more than just your body
Is it too late now to say sorry?
Yeah I know that I let you down
Is it too late to say I'm sorry now?

[Chorus]
I'm sorry, yeah
Sorry, yeah
Sorry
Yeah I know that I let you down
Is it too late to say I'm sorry now?

[Verse 2]
I'll take every single piece of the blame if you want me to
But you know that there is no innocent one in this game for two
I'll go, I'll go and then you go, you go out and spill the truth
Can we both say the words and forget this?

[Pre-Chorus]
Is it too late now to say sorry?
Cause I'm missing more than just your body
Is it too late now to say sorry?
Yeah I know that I let you down
Is it too late to say I'm sorry now?

[Bridge]
I'm not just trying to get you back on me
Cause I'm missing more than just your body
Is it too late now to say sorry?
Yeah I know that I let you down
Is it too late to say I'm sorry now?

[Chorus]
I'm sorry, yeah
Sorry, oh
Sorry
Yeah I know that I let you down
Is it too late to say I'm sorry now?
I'm sorry, yeah
Sorry, oh
Sorry
Yeah I know that I let you down
Is it too late to say I'm sorry now?",1
The Middle,"[AARON BURR]
How does a bastard, orphan, son of a whore and a
Scotsman, dropped in the middle of a forgotten
Spot in the Caribbean by providence, impoverished, in squalor
Grow up to be a hero and a scholar?

[JOHN LAURENS]
The ten-dollar Founding Father without a father
Got a lot farther by working a lot harder
By being a lot smarter
By being a self-starter
By fourteen, they placed him in charge of a trading charter

[THOMAS JEFFERSON]
And every day while slaves were being slaughtered and carted
Away across the waves, he struggled and kept his guard up
Inside, he was longing for something to be a part of
The brother was ready to beg, steal, borrow, or barter

[JAMES MADISON]
Then a hurricane came, and devastation reigned
Our man saw his future drip, dripping down the drain
Put a pencil to his temple, connected it to his brain
And he wrote his first refrain, a testament to his pain

[BURR]
Well, the word got around, they said, “This kid is insane, man”
Took up a collection just to send him to the mainland
“Get your education, don’t forget from whence you came, and
The world's gonna know your name. What’s your name, man?”

[ALEXANDER HAMILTON]
Alexander Hamilton
My name is Alexander Hamilton
And there's a million things I haven't done
But just you wait, just you wait...

[ELIZA HAMILTON]
When he was ten his father split, full of it, debt-ridden
Two years later, see Alex and his mother bed-ridden
Half-dead sittin' in their own sick, the scent thick

[FULL COMPANY EXCEPT HAMILTON (whispering)]
And Alex got better but his mother went quick

[GEORGE WASHINGTON & COMPANY, BOTH]
Moved in with a cousin, the cousin committed suicide
Left him with nothin' but ruined pride, something new inside
A voice saying
“Alex, you gotta fend for yourself.”
He started retreatin' and readin' every treatise on the shelf

[BURR & COMPANY, BOTH]
There would have been nothin’ left to do
For someone less astute
He woulda been dead or destitute
Without a cent of restitution
Started workin', clerkin' for his late mother's landlord
Tradin’ sugar cane and rum and all the things he can’t afford
Scammin' for every book he can get his hands on
Plannin' for the future see him now as he stands on (ooh)
The bow of a ship headed for a new land
In New York you can be a new man

[COMPANY & HAMILTON, WOMEN, MEN]
In New York you can be a new man (Just you wait)
In New York you can be a new man (Just you wait)
In New York you can be a new man
In New York, New York
Just you wait!

[COMPANY]
Alexander Hamilton (Alexander Hamilton)
We are waiting in the wings for you (waiting in the wings for you)
You could never back down
You never learned to take your time!
Oh, Alexander Hamilton (Alexander Hamilton)
When America sings for you
Will they know what you overcame?
Will they know you rewrote the game?
The world will never be the same, oh

[BURR, MEN, & COMPANY]
The ship is in the harbor now
See if you can spot him
Just you wait
Another immigrant
Comin’ up from the bottom
Just you wait
His enemies destroyed his rep
America forgot him

[MULLIGAN/MADISON & LAFAYETTE/JEFFERSON]
We fought with him

[LAURENS/PHILIP]
Me? I died for him

[WASHINGTON]
Me? I trusted him

[ELIZA & ANGELICA & PEGGY/MARIA]
Me? I loved him

[BURR]
And me? I'm the damn fool that shot him

[COMPANY]
There's a million things I haven’t done
But just you wait!

[BURR]
What's your name, man?

[COMPANY]
Alexander Hamilton!",1
Galway Girl,"[Chorus]
She played the fiddle in an Irish band
But she fell in love with an English man
Kissed her on the neck and then I took her by the hand
Said, ""Baby, I just want to dance""

[Verse 1]
I met her on Grafton street right outside of the bar
She shared a cigarette with me while her brother played the guitar
She asked me what does it mean, the Gaelic ink on your arm?
Said it was one of my friend's songs, do you want to drink on?
She took Jamie as a chaser, Jack for the fun
She got Arthur on the table with Johnny riding a shotgun
Chatted some more, one more drink at the bar
Then put Van on the jukebox, got up to dance

[Chorus]
You know, she played the fiddle in an Irish band
But she fell in love with an English man
Kissed her on the neck and then I took her by the hand
Said, ""Baby, I just want to dance""
With my pretty little Galway Girl
You're my pretty little Galway Girl

[Verse 2]
You know she beat me at darts and then she beat me at pool
And then she kissed me like there was nobody else in the room
As last orders were called was when she stood on the stool
After dancing the céili singing to trad tunes
I never heard Carrickfergus ever sung so sweet
A cappella in the bar using her feet for a beat
Oh, I could have that voice playing on repeat for a week
And in this packed out room swear she was singing to me

[Chorus]
You know, she played the fiddle in an Irish band
But she fell in love with an English man
Kissed her on the neck and then I took her by the hand
Said, ""Baby, I just want to dance""
My pretty little Galway Girl
My, my, my, my, my, my, my Galway Girl
My, my, my, my, my, my, my Galway Girl
My, my, my, my, my, my, my Galway Girl

[Verse 3]
And now we've outstayed our welcome and it's closing time
I was holding her hand, her hand was holding mine
Our coats both smell of smoke, whisky and wine
As we fill up our lungs with the cold air of the night
I walked her home then she took me inside
To finish some Doritos and another bottle of wine
I swear I'm gonna put you in a song that I write
About a Galway Girl and a perfect night

[Chorus]
She played the fiddle in an Irish band
But she fell in love with an English man
Kissed her on the neck and then I took her by the hand
Said, ""Baby, I just want to dance""
My pretty little Galway Girl
My, my, my, my, my, my, my Galway Girl
My, my, my, my, my, my, my Galway Girl
My, my, my, my, my, my, my Galway Girl",1
This Is What You Came For,"[Chorus: Rihanna]
Baby, this is what you came for
Lightning strikes every time she moves
And everybody's watching her
But she's looking at
You, oh, oh, you, oh, ooh
You, oh, oh, you, oh, ooh
You, oh, oh, you, oh, ooh-oooh

Baby, this is what you came for
Lightning strikes every time she moves
And everybody's watching her
But she's looking at
You, oh, oh, you, oh, ooh
You, oh, oh, you, oh, ooh
You, oh, oh, you, oh, oooh-oooh

[Post-Chorus:  Rihanna]
You, oh, oh, you, oh, ooh
You, oh, oh, you, oh, ooh
You, oh, oh, you, oh, oooh-oooh

[Verse 1: Rihanna]
We go fast with the game we play
Who knows why it's gotta be this way?
We say nothing more than we need
I say ""your place"" when we leave

[Chorus: Rihanna]
Baby, this is what you came for
Lightning strikes every time she moves
And everybody's watching her
But she's looking at
You, oh, oh, you, oh, ooh
You, oh, oh, you, oh, ooh
You, oh, oh, you, oh, oooh-oooh

[Post-Chorus:  Rihanna]
You, oh, oh, you, oh, ooh
You, oh, oh, you, oh, ooh
You, oh, oh, you, oh, oooh-oooh

[Bridge:  Rihanna]
Baby, this is what you came for
Lightning strikes every time she moves
Yeah

[Chorus:  Rihanna]
Baby, this is what you came for
Lightning strikes every time she moves
And everybody's watching her
But she's looking at
You, oh, oh, you, oh, ooh
You, oh, oh, you, oh, ooh
You, oh, oh, you, oh, oooh-oooh

[Post-Chorus:  Rihanna]
You, oh, oh, you, oh, ooh
You, oh, oh, you, oh, ooh
You, oh, oh, you, oh, oooh-oooh",1
